"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2014","Test Case 1 - Chờ 2 giây","firefox","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2014","Test Case 2 - Chờ 2 giây","chromium","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2015","Test Case 3 - Chờ 2 giây","webkit","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2014","Test Case 2 - Chờ 2 giây","firefox","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2016","Test Case 1 - Chờ 2 giây","webkit","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2050","authenticate as standard user","setup","2026-07-03","passed","2026-07-03","","../auth/auth.setup.ts","",""
"","2017","Test Case 3 - Chờ 2 giây","chromium","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2014","Test Case 2 - Chờ 2 giây","webkit","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2346","authenticate as problem user","setup","2026-07-03","passed","2026-07-03","","../auth/auth.setup.ts","",""
"","2015","Test Case 3 - Chờ 2 giây","firefox","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2014","Test Case 1 - Chờ 2 giây","chromium","2026-07-03","passed","2026-07-03","Lesson 18: Parallel Execution Demonstration","parallelDemo.spec.ts","",""
"","2060","authenticate as admin user","setup","2026-07-03","passed","2026-07-03","","../auth/auth.setup.ts","",""
